case_id,seed_label,condition,expected_wikitree_id,first_name,last_name,birth_year,birth_location,gender,perturbation_notes
Nightingale-64__wrong_gender,Florence Nightingale,wrong_gender,Nightingale-64,Florence,Nightingale,1820.0,"Firenze, Firenze, Tuscany, Italy",Male,Gender replaced with the opposite dataset value.
Churchill-4__full_profile,Winston Churchill,full_profile,Churchill-4,Winston,Churchill,1874.0,"Blenheim Palace, Woodstock, Oxfordshire, England",Male,All available identifying fields supplied correctly.
Churchill-4__name_year,Winston Churchill,name_year,Churchill-4,Winston,Churchill,1874.0,,,"Only first name, surname and birth year supplied."
Churchill-4__name_only,Winston Churchill,name_only,Churchill-4,Winston,Churchill,,,,Only first name and surname supplied.
Churchill-4__noisy_input,Winston Churchill,noisy_input,Churchill-4,Winston,Chucrhill,1874.0,"Oxfordshire, England",Male,One adjacent-character surname typo and a shortened birth location.
Churchill-4__wrong_year,Winston Churchill,wrong_year,Churchill-4,Winston,Churchill,1894.0,"Blenheim Palace, Woodstock, Oxfordshire, England",Male,Birth year increased by exactly 20 years.
Churchill-4__wrong_location,Winston Churchill,wrong_location,Churchill-4,Winston,Churchill,1874.0,"Tokyo, Japan",Male,"Birth location replaced with the unrelated location 'Tokyo, Japan'."
Churchill-4__wrong_gender,Winston Churchill,wrong_gender,Churchill-4,Winston,Churchill,1874.0,"Blenheim Palace, Woodstock, Oxfordshire, England",Female,Gender replaced with the opposite dataset value.
Brunel-8__full_profile,Isambard Kingdom Brunel,full_profile,Brunel-8,Isambard,Brunel,1806.0,"Portsea, Hampshire, England",Male,All available identifying fields supplied correctly.
Brunel-8__name_year,Isambard Kingdom Brunel,name_year,Brunel-8,Isambard,Brunel,1806.0,,,"Only first name, surname and birth year supplied."
Brunel-8__name_only,Isambard Kingdom Brunel,name_only,Brunel-8,Isambard,Brunel,,,,Only first name and surname supplied.
Brunel-8__noisy_input,Isambard Kingdom Brunel,noisy_input,Brunel-8,Isambard,Brnuel,1806.0,"Hampshire, England",Male,One adjacent-character surname typo and a shortened birth location.
Brunel-8__wrong_year,Isambard Kingdom Brunel,wrong_year,Brunel-8,Isambard,Brunel,1826.0,"Portsea, Hampshire, England",Male,Birth year increased by exactly 20 years.
Brunel-8__wrong_location,Isambard Kingdom Brunel,wrong_location,Brunel-8,Isambard,Brunel,1806.0,"Tokyo, Japan",Male,"Birth location replaced with the unrelated location 'Tokyo, Japan'."
Brunel-8__wrong_gender,Isambard Kingdom Brunel,wrong_gender,Brunel-8,Isambard,Brunel,1806.0,"Portsea, Hampshire, England",Female,Gender replaced with the opposite dataset value.
