case_id,seed_label,condition,expected_wikitree_id,first_name,last_name,birth_year,birth_location,gender,perturbation_notes,candidate_count,expected_rank,top_1_correct,unique_top_1_correct,top_3_correct,top_5_correct,reciprocal_rank,retrieval_failed,returned_top_wikitree_id,returned_top_name,top_rank_score,top_confidence_score,confidence_interpretation,failure_reason,second_candidate_wikitree_id,second_candidate_rank_score,score_margin,top_score_tie,top_score_tie_size,first_name_score,last_name_score,birth_year_score,birth_location_score,gender_score
Franklin-10478__noisy_input,Aretha Franklin,noisy_input,Franklin-10478,Aretha,Fraknlin,1942.0,"Tennessee, United States",Female,One adjacent-character surname typo and a shortened birth location.,5,1,True,True,True,True,1.0,False,Franklin-10478,Aretha Louise Franklin,94.51,100.0,Strong candidate based on close agreement across key fields. Still requires source verification.,,Brink-635,0.0,94.51,False,1,1.0,0.875,1.0,0.754,1.0
Franklin-10478__wrong_year,Aretha Franklin,wrong_year,Franklin-10478,Aretha,Franklin,1962.0,"Memphis, Shelby, Tennessee, United States",Female,Birth year increased by exactly 20 years.,5,1,True,True,True,True,1.0,False,Franklin-10478,Aretha Louise Franklin,56.67,46.67,Very weak candidate. Likely not reliable without substantial extra evidence.,,Siggers-12,0.0,56.67,False,1,1.0,1.0,0.0,1.0,1.0
Franklin-10478__wrong_location,Aretha Franklin,wrong_location,Franklin-10478,Aretha,Franklin,1942.0,"Tokyo, Japan",Female,"Birth location replaced with the unrelated location 'Tokyo, Japan'.",5,1,True,True,True,True,1.0,False,Franklin-10478,Aretha Louise Franklin,83.46,58.46,Weak candidate. Treat as exploratory unless supported by additional evidence.,,Siggers-12,0.0,83.46,False,1,1.0,1.0,1.0,0.122,1.0
Franklin-10478__wrong_gender,Aretha Franklin,wrong_gender,Franklin-10478,Aretha,Franklin,1942.0,"Memphis, Shelby, Tennessee, United States",Male,Gender replaced with the opposite dataset value.,5,1,True,True,True,True,1.0,False,Franklin-10478,Aretha Louise Franklin,100.0,80.0,"Plausible candidate, but at least one important field is missing, weak, or ambiguous.",,Siggers-12,0.0,100.0,False,1,1.0,1.0,1.0,1.0,0.0
Darwin-15__full_profile,Charles Darwin,full_profile,Darwin-15,Charles,Darwin,1809.0,"Shrewsbury, Shropshire, England",Male,All available identifying fields supplied correctly.,5,1,True,True,True,True,1.0,False,Darwin-15,Charles Robert Darwin,100.0,100.0,Strong candidate based on close agreement across key fields. Still requires source verification.,,Howard-8022,20.08,79.92,False,1,1.0,1.0,1.0,1.0,1.0
Darwin-15__name_year,Charles Darwin,name_year,Darwin-15,Charles,Darwin,1809.0,,,"Only first name, surname and birth year supplied.",5,1,True,True,True,True,1.0,False,Darwin-15,Charles Robert Darwin,100.0,95.0,Strong candidate based on close agreement across key fields. Still requires source verification.,,Brunel-8,33.65,66.35,False,1,1.0,1.0,1.0,,
Darwin-15__name_only,Charles Darwin,name_only,Darwin-15,Charles,Darwin,,,,Only first name and surname supplied.,5,1,True,True,True,True,1.0,False,Darwin-15,Charles Robert Darwin,100.0,80.0,"Plausible candidate, but at least one important field is missing, weak, or ambiguous.",,Howard-8022,66.67,33.33,False,1,1.0,1.0,,,
Darwin-15__noisy_input,Charles Darwin,noisy_input,Darwin-15,Charles,Dawrin,1809.0,"Shropshire, England",Male,One adjacent-character surname typo and a shortened birth location.,5,1,True,True,True,True,1.0,False,Darwin-15,Charles Robert Darwin,93.69,100.0,Strong candidate based on close agreement across key fields. Still requires source verification.,,Brunel-8,39.01,54.68,False,1,1.0,0.833,1.0,0.766,1.0
Darwin-15__wrong_year,Charles Darwin,wrong_year,Darwin-15,Charles,Darwin,1829.0,"Shrewsbury, Shropshire, England",Male,Birth year increased by exactly 20 years.,5,1,True,True,True,True,1.0,False,Darwin-15,Charles Robert Darwin,56.67,46.67,Very weak candidate. Likely not reliable without substantial extra evidence.,,Howard-8022,20.08,36.59,False,1,1.0,1.0,0.0,1.0,1.0
Darwin-15__wrong_location,Charles Darwin,wrong_location,Darwin-15,Charles,Darwin,1809.0,"Tokyo, Japan",Male,"Birth location replaced with the unrelated location 'Tokyo, Japan'.",5,1,True,True,True,True,1.0,False,Darwin-15,Charles Robert Darwin,84.57,59.57,Weak candidate. Treat as exploratory unless supported by additional evidence.,,Brunel-8,13.14,71.43,False,1,1.0,1.0,1.0,0.2,1.0
Darwin-15__wrong_gender,Charles Darwin,wrong_gender,Darwin-15,Charles,Darwin,1809.0,"Shrewsbury, Shropshire, England",Female,Gender replaced with the opposite dataset value.,5,1,True,True,True,True,1.0,False,Darwin-15,Charles Robert Darwin,100.0,80.0,"Plausible candidate, but at least one important field is missing, weak, or ambiguous.",,Howard-8022,15.32,84.68,False,1,1.0,1.0,1.0,1.0,0.0
Austen-489__full_profile,Jane Austen,full_profile,Austen-489,Jane,Austen,1775.0,"Steventon, Hampshire, England",Female,All available identifying fields supplied correctly.,5,1,True,True,True,True,1.0,False,Austen-489,Jane Austen,100.0,100.0,Strong candidate based on close agreement across key fields. Still requires source verification.,,Austen-1465,89.71,10.29,False,1,1.0,1.0,1.0,1.0,1.0
Austen-489__name_year,Jane Austen,name_year,Austen-489,Jane,Austen,1775.0,,,"Only first name, surname and birth year supplied.",5,1,True,False,True,True,1.0,False,Austen-489,Jane Austen,100.0,80.0,"Plausible candidate, but at least one important field is missing, weak, or ambiguous.",,Austen-1465,100.0,0.0,True,2,1.0,1.0,1.0,,
Austen-489__name_only,Jane Austen,name_only,Austen-489,Jane,Austen,,,,Only first name and surname supplied.,5,1,True,False,True,True,1.0,False,Austen-489,Jane Austen,100.0,65.0,Weak candidate. Treat as exploratory unless supported by additional evidence.,,Austen-1465,100.0,0.0,True,2,1.0,1.0,,,
Austen-489__noisy_input,Jane Austen,noisy_input,Austen-489,Jane,Autsen,1775.0,"Hampshire, England",Female,One adjacent-character surname typo and a shortened birth location.,5,1,True,True,True,True,1.0,False,Austen-489,Jane Austen,93.78,100.0,Strong candidate based on close agreement across key fields. Still requires source verification.,,Austen-1465,70.6,23.18,False,1,1.0,0.833,1.0,0.773,1.0
Austen-489__wrong_year,Jane Austen,wrong_year,Austen-489,Jane,Austen,1795.0,"Steventon, Hampshire, England",Female,Birth year increased by exactly 20 years.,5,1,True,True,True,True,1.0,False,Austen-489,Jane Austen,56.67,31.67,Very weak candidate. Likely not reliable without substantial extra evidence.,,Stewart-1153,56.04,0.63,False,1,1.0,1.0,0.0,1.0,1.0
Austen-489__wrong_location,Jane Austen,wrong_location,Austen-489,Jane,Austen,1775.0,"Tokyo, Japan",Female,"Birth location replaced with the unrelated location 'Tokyo, Japan'.",5,1,True,True,True,True,1.0,False,Austen-489,Jane Austen,86.98,46.98,Very weak candidate. Likely not reliable without substantial extra evidence.,,Austen-1465,86.76,0.22,False,1,1.0,1.0,1.0,0.368,1.0
Austen-489__wrong_gender,Jane Austen,wrong_gender,Austen-489,Jane,Austen,1775.0,"Steventon, Hampshire, England",Male,Gender replaced with the opposite dataset value.,5,1,True,True,True,True,1.0,False,Austen-489,Jane Austen,100.0,75.0,"Plausible candidate, but at least one important field is missing, weak, or ambiguous.",,Austen-1465,84.95,15.05,False,1,1.0,1.0,1.0,1.0,0.0
Newton-17__full_profile,Isaac Newton,full_profile,Newton-17,Isaac,Newton,1642.0,"Woolsthorpe by Colsterworth, Lincolnshire, England",Male,All available identifying fields supplied correctly.,5,1,True,True,True,True,1.0,False,Newton-17,Isaac Newton,100.0,100.0,Strong candidate based on close agreement across key fields. Still requires source verification.,,Newton-18,41.67,58.33,False,1,1.0,1.0,1.0,1.0,1.0
Newton-17__name_year,Isaac Newton,name_year,Newton-17,Isaac,Newton,1642.0,,,"Only first name, surname and birth year supplied.",5,1,True,True,True,True,1.0,False,Newton-17,Isaac Newton,100.0,95.0,Strong candidate based on close agreement across key fields. Still requires source verification.,,Newton-20487,53.82,46.18,False,1,1.0,1.0,1.0,,
Newton-17__name_only,Isaac Newton,name_only,Newton-17,Isaac,Newton,,,,Only first name and surname supplied.,5,1,True,False,True,True,1.0,False,Newton-17,Isaac Newton,100.0,65.0,Weak candidate. Treat as exploratory unless supported by additional evidence.,,Newton-18,100.0,0.0,True,4,1.0,1.0,,,
Newton-17__noisy_input,Isaac Newton,noisy_input,Newton-17,Isaac,Netwon,1642.0,"Lincolnshire, England",Male,One adjacent-character surname typo and a shortened birth location.,5,1,True,True,True,True,1.0,False,Newton-17,Isaac Newton,71.15,81.15,"Plausible candidate, but at least one important field is missing, weak, or ambiguous.",,Newton-20487,23.41,47.74,False,1,1.0,0.833,1.0,0.588,1.0
Newton-17__wrong_year,Isaac Newton,wrong_year,Newton-17,Isaac,Newton,1662.0,"Woolsthorpe by Colsterworth, Lincolnshire, England",Male,Birth year increased by exactly 20 years.,5,1,True,True,True,True,1.0,False,Newton-17,Isaac Newton,56.67,41.67,Very weak candidate. Likely not reliable without substantial extra evidence.,,Newton-18,41.67,15.0,False,1,1.0,1.0,0.0,1.0,1.0
Newton-17__wrong_location,Isaac Newton,wrong_location,Newton-17,Isaac,Newton,1642.0,"Tokyo, Japan",Male,"Birth location replaced with the unrelated location 'Tokyo, Japan'.",5,1,True,True,True,True,1.0,False,Newton-17,Isaac Newton,85.1,60.1,Weak candidate. Treat as exploratory unless supported by additional evidence.,,Newton-20487,27.38,57.72,False,1,1.0,1.0,1.0,0.237,1.0
Newton-17__wrong_gender,Isaac Newton,wrong_gender,Newton-17,Isaac,Newton,1642.0,"Woolsthorpe by Colsterworth, Lincolnshire, England",Female,Gender replaced with the opposite dataset value.,5,1,True,True,True,True,1.0,False,Newton-17,Isaac Newton,100.0,80.0,"Plausible candidate, but at least one important field is missing, weak, or ambiguous.",,Newton-18,36.9,63.1,False,1,1.0,1.0,1.0,1.0,0.0
Shakespeare-1__full_profile,William Shakespeare,full_profile,Shakespeare-1,William,Shakespeare,1564.0,"Stratford-upon-Avon, Warwickshire, England",Male,All available identifying fields supplied correctly.,5,1,True,True,True,True,1.0,False,Shakespeare-1,William Shakespeare,100.0,100.0,Strong candidate based on close agreement across key fields. Still requires source verification.,,Shore-187,25.3,74.7,False,1,1.0,1.0,1.0,1.0,1.0
Shakespeare-1__name_year,William Shakespeare,name_year,Shakespeare-1,William,Shakespeare,1564.0,,,"Only first name, surname and birth year supplied.",5,1,True,True,True,True,1.0,False,Shakespeare-1,William Shakespeare,100.0,95.0,Strong candidate based on close agreement across key fields. Still requires source verification.,,Shore-186,19.12,80.88,False,1,1.0,1.0,1.0,,
Shakespeare-1__name_only,William Shakespeare,name_only,Shakespeare-1,William,Shakespeare,,,,Only first name and surname supplied.,5,1,True,True,True,True,1.0,False,Shakespeare-1,William Shakespeare,100.0,80.0,"Plausible candidate, but at least one important field is missing, weak, or ambiguous.",,Shore-186,75.0,25.0,False,1,1.0,1.0,,,
Shakespeare-1__noisy_input,William Shakespeare,noisy_input,Shakespeare-1,William,Shaksepeare,1564.0,"Warwickshire, England",Male,One adjacent-character surname typo and a shortened birth location.,5,1,True,True,True,True,1.0,False,Shakespeare-1,William Shakespeare,94.07,100.0,Strong candidate based on close agreement across key fields. Still requires source verification.,,Shore-187,25.87,68.2,False,1,1.0,0.909,1.0,0.667,1.0
Shakespeare-1__wrong_year,William Shakespeare,wrong_year,Shakespeare-1,William,Shakespeare,1584.0,"Stratford-upon-Avon, Warwickshire, England",Male,Birth year increased by exactly 20 years.,5,1,True,True,True,True,1.0,False,Shakespeare-1,William Shakespeare,56.67,46.67,Very weak candidate. Likely not reliable without substantial extra evidence.,,Shore-187,25.3,31.37,False,1,1.0,1.0,0.0,1.0,1.0
Shakespeare-1__wrong_location,William Shakespeare,wrong_location,Shakespeare-1,William,Shakespeare,1564.0,"Tokyo, Japan",Male,"Birth location replaced with the unrelated location 'Tokyo, Japan'.",5,1,True,True,True,True,1.0,False,Shakespeare-1,William Shakespeare,85.08,60.08,Weak candidate. Treat as exploratory unless supported by additional evidence.,,Shore-187,1.19,83.89,False,1,1.0,1.0,1.0,0.235,1.0
Shakespeare-1__wrong_gender,William Shakespeare,wrong_gender,Shakespeare-1,William,Shakespeare,1564.0,"Stratford-upon-Avon, Warwickshire, England",Female,Gender replaced with the opposite dataset value.,5,1,True,True,True,True,1.0,False,Shakespeare-1,William Shakespeare,100.0,80.0,"Plausible candidate, but at least one important field is missing, weak, or ambiguous.",,Shore-187,20.54,79.46,False,1,1.0,1.0,1.0,1.0,0.0
Nightingale-64__full_profile,Florence Nightingale,full_profile,Nightingale-64,Florence,Nightingale,1820.0,"Firenze, Firenze, Tuscany, Italy",Female,All available identifying fields supplied correctly.,5,1,True,True,True,True,1.0,False,Nightingale-64,Florence Nightingale,100.0,100.0,Strong candidate based on close agreement across key fields. Still requires source verification.,,Vane-1,41.61,58.39,False,1,1.0,1.0,1.0,1.0,1.0
Nightingale-64__name_year,Florence Nightingale,name_year,Nightingale-64,Florence,Nightingale,1820.0,,,"Only first name, surname and birth year supplied.",5,1,True,True,True,True,1.0,False,Nightingale-64,Florence Nightingale,100.0,95.0,Strong candidate based on close agreement across key fields. Still requires source verification.,,Vane-1,65.51,34.49,False,1,1.0,1.0,1.0,,
Nightingale-64__name_only,Florence Nightingale,name_only,Nightingale-64,Florence,Nightingale,,,,Only first name and surname supplied.,5,1,True,True,True,True,1.0,False,Nightingale-64,Florence Nightingale,100.0,80.0,"Plausible candidate, but at least one important field is missing, weak, or ambiguous.",,Smith-13106,58.33,41.67,False,1,1.0,1.0,,,
Nightingale-64__noisy_input,Florence Nightingale,noisy_input,Nightingale-64,Florence,Nighitngale,1820.0,"Tuscany, Italy",Female,One adjacent-character surname typo and a shortened birth location.,5,1,True,True,True,True,1.0,False,Nightingale-64,Florence Nightingale,94.07,100.0,Strong candidate based on close agreement across key fields. Still requires source verification.,,Vane-1,40.58,53.49,False,1,1.0,0.909,1.0,0.667,1.0
Nightingale-64__wrong_year,Florence Nightingale,wrong_year,Nightingale-64,Florence,Nightingale,1840.0,"Firenze, Firenze, Tuscany, Italy",Female,Birth year increased by exactly 20 years.,5,1,True,True,True,True,1.0,False,Nightingale-64,Florence Nightingale,56.67,46.67,Very weak candidate. Likely not reliable without substantial extra evidence.,,Siggers-19,31.22,25.45,False,1,1.0,1.0,0.0,1.0,1.0
Nightingale-64__wrong_location,Florence Nightingale,wrong_location,Nightingale-64,Florence,Nightingale,1820.0,"Tokyo, Japan",Female,"Birth location replaced with the unrelated location 'Tokyo, Japan'.",5,1,True,True,True,True,1.0,False,Nightingale-64,Florence Nightingale,83.86,58.86,Weak candidate. Treat as exploratory unless supported by additional evidence.,,Vane-1,41.22,42.64,False,1,1.0,1.0,1.0,0.15,1.0
Nightingale-64__wrong_gender,Florence Nightingale,wrong_gender,Nightingale-64,Florence,Nightingale,1820.0,"Firenze, Firenze, Tuscany, Italy",Male,Gender replaced with the opposite dataset value.,5,1,True,True,True,True,1.0,False,Nightingale-64,Florence Nightingale,100.0,80.0,"Plausible candidate, but at least one important field is missing, weak, or ambiguous.",,Vane-1,36.84,63.16,False,1,1.0,1.0,1.0,1.0,0.0
Churchill-4__full_profile,Winston Churchill,full_profile,Churchill-4,Winston,Churchill,1874.0,"Blenheim Palace, Woodstock, Oxfordshire, England",Male,All available identifying fields supplied correctly.,5,1,True,True,True,True,1.0,False,Churchill-4,Winston Leonard Spencer Churchill,100.0,100.0,Strong candidate based on close agreement across key fields. Still requires source verification.,,Spencer-Churchill-1,0.0,100.0,False,1,1.0,1.0,1.0,1.0,1.0
Churchill-4__name_year,Winston Churchill,name_year,Churchill-4,Winston,Churchill,1874.0,,,"Only first name, surname and birth year supplied.",5,1,True,True,True,True,1.0,False,Churchill-4,Winston Leonard Spencer Churchill,100.0,95.0,Strong candidate based on close agreement across key fields. Still requires source verification.,,Marsh-14652,23.07,76.93,False,1,1.0,1.0,1.0,,
Churchill-4__name_only,Winston Churchill,name_only,Churchill-4,Winston,Churchill,,,,Only first name and surname supplied.,5,1,True,True,True,True,1.0,False,Churchill-4,Winston Leonard Spencer Churchill,100.0,80.0,"Plausible candidate, but at least one important field is missing, weak, or ambiguous.",,Spencer-Churchill-1,27.95,72.05,False,1,1.0,1.0,,,
Churchill-4__noisy_input,Winston Churchill,noisy_input,Churchill-4,Winston,Chucrhill,1874.0,"Oxfordshire, England",Male,One adjacent-character surname typo and a shortened birth location.,5,1,True,True,True,True,1.0,False,Churchill-4,Winston Leonard Spencer Churchill,72.55,82.55,"Plausible candidate, but at least one important field is missing, weak, or ambiguous.",,Coghill-153,0.0,72.55,False,1,1.0,0.889,1.0,0.594,1.0
Churchill-4__wrong_year,Winston Churchill,wrong_year,Churchill-4,Winston,Churchill,1894.0,"Blenheim Palace, Woodstock, Oxfordshire, England",Male,Birth year increased by exactly 20 years.,5,1,True,True,True,True,1.0,False,Churchill-4,Winston Leonard Spencer Churchill,56.67,46.67,Very weak candidate. Likely not reliable without substantial extra evidence.,,Walker-33925,6.18,50.49,False,1,1.0,1.0,0.0,1.0,1.0
Churchill-4__wrong_location,Winston Churchill,wrong_location,Churchill-4,Winston,Churchill,1874.0,"Tokyo, Japan",Male,"Birth location replaced with the unrelated location 'Tokyo, Japan'.",5,1,True,True,True,True,1.0,False,Churchill-4,Winston Leonard Spencer Churchill,85.29,60.29,Weak candidate. Treat as exploratory unless supported by additional evidence.,,Spencer-Churchill-1,0.0,85.29,False,1,1.0,1.0,1.0,0.25,1.0
Churchill-4__wrong_gender,Winston Churchill,wrong_gender,Churchill-4,Winston,Churchill,1874.0,"Blenheim Palace, Woodstock, Oxfordshire, England",Female,Gender replaced with the opposite dataset value.,5,1,True,True,True,True,1.0,False,Churchill-4,Winston Leonard Spencer Churchill,100.0,80.0,"Plausible candidate, but at least one important field is missing, weak, or ambiguous.",,Marsh-14652,3.29,96.71,False,1,1.0,1.0,1.0,1.0,0.0
Brunel-8__full_profile,Isambard Kingdom Brunel,full_profile,Brunel-8,Isambard,Brunel,1806.0,"Portsea, Hampshire, England",Male,All available identifying fields supplied correctly.,5,1,True,True,True,True,1.0,False,Brunel-8,Isambard Kingdom Brunel,100.0,100.0,Strong candidate based on close agreement across key fields. Still requires source verification.,,Darwin-15,16.32,83.68,False,1,1.0,1.0,1.0,1.0,1.0
Brunel-8__name_year,Isambard Kingdom Brunel,name_year,Brunel-8,Isambard,Brunel,1806.0,,,"Only first name, surname and birth year supplied.",5,1,True,True,True,True,1.0,False,Brunel-8,Isambard Kingdom Brunel,100.0,95.0,Strong candidate based on close agreement across key fields. Still requires source verification.,,Darwin-15,33.65,66.35,False,1,1.0,1.0,1.0,,
Brunel-8__name_only,Isambard Kingdom Brunel,name_only,Brunel-8,Isambard,Brunel,,,,Only first name and surname supplied.,5,1,True,True,True,True,1.0,False,Brunel-8,Isambard Kingdom Brunel,100.0,80.0,"Plausible candidate, but at least one important field is missing, weak, or ambiguous.",,Brunel-9,55.0,45.0,False,1,1.0,1.0,,,
Brunel-8__noisy_input,Isambard Kingdom Brunel,noisy_input,Brunel-8,Isambard,Brnuel,1806.0,"Hampshire, England",Male,One adjacent-character surname typo and a shortened birth location.,5,1,True,True,True,True,1.0,False,Brunel-8,Isambard Kingdom Brunel,94.31,100.0,Strong candidate based on close agreement across key fields. Still requires source verification.,,Darwin-15,37.7,56.61,False,1,1.0,0.833,1.0,0.81,1.0
Brunel-8__wrong_year,Isambard Kingdom Brunel,wrong_year,Brunel-8,Isambard,Brunel,1826.0,"Portsea, Hampshire, England",Male,Birth year increased by exactly 20 years.,5,1,True,True,True,True,1.0,False,Brunel-8,Isambard Kingdom Brunel,56.67,46.67,Very weak candidate. Likely not reliable without substantial extra evidence.,,Hall-8,9.64,47.03,False,1,1.0,1.0,0.0,1.0,1.0
Brunel-8__wrong_location,Isambard Kingdom Brunel,wrong_location,Brunel-8,Isambard,Brunel,1806.0,"Tokyo, Japan",Male,"Birth location replaced with the unrelated location 'Tokyo, Japan'.",5,1,True,True,True,True,1.0,False,Brunel-8,Isambard Kingdom Brunel,86.48,61.48,Weak candidate. Treat as exploratory unless supported by additional evidence.,,Darwin-15,11.24,75.24,False,1,1.0,1.0,1.0,0.333,1.0
Brunel-8__wrong_gender,Isambard Kingdom Brunel,wrong_gender,Brunel-8,Isambard,Brunel,1806.0,"Portsea, Hampshire, England",Female,Gender replaced with the opposite dataset value.,5,1,True,True,True,True,1.0,False,Brunel-8,Isambard Kingdom Brunel,100.0,80.0,"Plausible candidate, but at least one important field is missing, weak, or ambiguous.",,Darwin-15,11.56,88.44,False,1,1.0,1.0,1.0,1.0,0.0
